priority,family,category,skuKey,pnMtm,productName,spec,currentStock,sellableStock,searchKeyword,searchQueries,jdProductUrl,lenovoProductUrl,jdLenovoSelfUrl,lenovoShopSearchUrl,matchStatus,matchEvidence
P3 低库存,非国补,电脑配件,20003751,QXR1Q25360,联想小新 K5 客制化机械键盘,白巧布朗尼,2,2,小新,小新 / 小新 白,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,打印机,20000465,QZG1Q29349,联想小新鲸鱼彩色喷墨多功能打印机,*,1,1,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,打印机,20001545,QZG1S34162,彩色喷墨多功能一体机 CM408,*,1,1,彩色喷墨多功能一体机 CM408,彩色喷墨多功能一体机 CM408,,,https://lenovo1.jd.com/?keyword=%E5%BD%A9%E8%89%B2%E5%96%B7%E5%A2%A8%E5%A4%9A%E5%8A%9F%E8%83%BD%E4%B8%80%E4%BD%93%E6%9C%BA%20CM408,https://s.lenovo.com.cn/search/?key=%E5%BD%A9%E8%89%B2%E5%96%B7%E5%A2%A8%E5%A4%9A%E5%8A%9F%E8%83%BD%E4%B8%80%E4%BD%93%E6%9C%BA%20CM408&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20004219,GX21S89414,联想小新氮化镓125多口适配器,黑色,1,1,小新,小新 / 小新 黑色,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20003418,QXR1T95077,小新 小Q蓝牙鼠标-灰色,灰色,1,1,小新,小新 / 小新 灰色,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20000690,QXR1N43135,小新 M3 轻音鼠标（暮霭灰）,*,1,1,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20000429,QXR1N43140,小新 M1 轻音鼠标 2.4G无线版（暮霭灰）,*,1,1,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20001158,0888053076,联想（Lenovo）小新 轻便双肩背包Air 1 霜雪灰,*,1,1,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20006213,QXB1R01062,联想移动硬盘 F508 1T 风暴灰,1T,1,1,联想移动硬盘 F508 1T,联想移动硬盘 F508 1T / 联想移动硬盘 F508 1T 1T,,,https://lenovo1.jd.com/?keyword=%E8%81%94%E6%83%B3%E7%A7%BB%E5%8A%A8%E7%A1%AC%E7%9B%98%20F508%201T,https://s.lenovo.com.cn/search/?key=%E8%81%94%E6%83%B3%E7%A7%BB%E5%8A%A8%E7%A1%AC%E7%9B%98%20F508%201T&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20003659,870032555,联想原厂 1T SSD升级服务（AM6B1-1T）,联想原厂 1T SSD升级服务（AM6B1-1T）,1,1,联想原厂 1T SSD升级服务（AM6B1-1T）,联想原厂 1T SSD升级服务（AM6B1-1T） / 联想原厂 1T SSD升级服务（AM6B1-1T） 1T,,,https://lenovo1.jd.com/?keyword=%E8%81%94%E6%83%B3%E5%8E%9F%E5%8E%82%201T%20SSD%E5%8D%87%E7%BA%A7%E6%9C%8D%E5%8A%A1%EF%BC%88AM6B1-1T%EF%BC%89,https://s.lenovo.com.cn/search/?key=%E8%81%94%E6%83%B3%E5%8E%9F%E5%8E%82%201T%20SSD%E5%8D%87%E7%BA%A7%E6%9C%8D%E5%8A%A1%EF%BC%88AM6B1-1T%EF%BC%89&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,手机,智能生活,20003065,PB7V0000CN,moto edge 60 Pro 12+256 谜香甘草,PHN MOTO XT2507-5 CN SD 12+256 DS RTL,1,0,moto,moto,,,https://lenovo1.jd.com/?keyword=moto,https://s.lenovo.com.cn/search/?key=moto&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,手机,智能生活,20003356,PB7N0017CN,PHN MOTO XT2527-3 CN SB 12+256 DS RTL,moto g100 Pro 12+256 松烟蓝,1,0,MOTO,MOTO,,,https://lenovo1.jd.com/?keyword=MOTO,https://s.lenovo.com.cn/search/?key=MOTO&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,手机,智能生活,20003058,PB870005CN,moto razr 60 12+512 午夜苍蓝,PHN MOTO XT2553-2 CN GS 12+512 DS RTL,1,0,moto,moto,,,https://lenovo1.jd.com/?keyword=moto,https://s.lenovo.com.cn/search/?key=moto&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
